,kAB,kBA,kex,pA,pB,offsetA,offsetB,deltaomega,R2A,R2B,R1A,R1B,M0
852,50.242961922104605,122.4627527661914,172.705714688296,0.709083384919923,0.290916615080077,0.0,828.3185037611988,828.3185037611988,9.87162605014872,9.87162605014872,2.0,2.0,2159729.9417839474
853,50.546337184792264,127.56773331512377,178.11407049991604,0.7162136767582542,0.28378632324174574,0.0,831.7582449855701,831.7582449855701,10.195856825862945,10.195856825862945,2.0,2.0,2169976.0313640237
854,51.72419329241702,119.06124746138516,170.7854407538022,0.6971393283635889,0.30286067163641106,0.0,827.8978775567539,827.8978775567539,10.02060364500971,10.02060364500971,2.0,2.0,2226818.895029809
855,50.34178522958053,132.02908359069232,182.37086882027285,0.7239592838744847,0.27604071612551534,0.0,827.8818166452568,827.8818166452568,9.576618876156617,9.576618876156617,2.0,2.0,2122054.7337201457
856,50.354994628855636,122.23597188943485,172.5909665182905,0.7082408445547512,0.2917591554452487,0.0,826.9232574180564,826.9232574180564,10.765154806925755,10.765154806925755,2.0,2.0,2197068.1703432333
857,50.47431002148336,123.82819774129209,174.30250776277546,0.7104212058143273,0.2895787941856726,0.0,831.3206837742154,831.3206837742154,10.080321505365964,10.080321505365964,2.0,2.0,2183329.6662702044
858,51.029152943787,128.298338145748,179.327491089535,0.7154415497938961,0.284558450206104,0.0,829.4272482978978,829.4272482978978,9.72590390990617,9.72590390990617,2.0,2.0,2160773.592072418
859,50.29446807142268,129.81734673237324,180.1118148037959,0.7207597506792613,0.27924024932073865,0.0,825.5776964994777,825.5776964994777,9.51208974926076,9.51208974926076,2.0,2.0,2122546.3433012073
860,50.77396816844417,123.44230861382096,174.21627678226514,0.7085578391053478,0.29144216089465214,0.0,829.5254885086129,829.5254885086129,9.447683229453162,9.447683229453162,2.0,2.0,2160257.825594589
861,50.91481220355882,130.5352481481988,181.45006035175763,0.719400411855164,0.28059958814483593,0.0,821.6252343485876,821.6252343485876,9.873846769226294,9.873846769226294,2.0,2.0,2146946.810666376
862,50.59492718937603,125.51694463340313,176.11187182277916,0.7127114335580422,0.2872885664419577,0.0,837.581111583484,837.581111583484,9.93202888731494,9.93202888731494,2.0,2.0,2168508.0510736145
863,50.83652386941985,138.1330777533517,188.96960162277156,0.7309804146653084,0.2690195853346915,0.0,833.3320245686706,833.3320245686706,9.485334978986021,9.485334978986021,2.0,2.0,2117359.2431893884
864,49.8257557347628,105.6430970416179,155.46885277638071,0.679512938797909,0.320487061202091,0.0,845.2147806907628,845.2147806907628,9.708590379244262,9.708590379244262,2.0,2.0,2245599.860366618
865,50.04468396603881,127.27743906943729,177.3221230354761,0.7177752944226448,0.2822247055773553,0.0,830.6930579193802,830.6930579193802,9.951013370975186,9.951013370975186,2.0,2.0,2136624.3950689104
866,50.23901312279641,127.82663256533888,178.0656456881353,0.7178624044596161,0.2821375955403838,0.0,823.8738016889661,823.8738016889661,9.676282371096127,9.676282371096127,2.0,2.0,2136914.683597907
867,49.99042946783156,129.04330780310025,179.0337372709318,0.7207764847572778,0.27922351524272226,0.0,826.6755705684874,826.6755705684874,10.189869073289435,10.189869073289435,2.0,2.0,2153349.1870397925
868,50.197889760516546,125.76249875892161,175.96038851943814,0.7147205107758032,0.2852794892241969,0.0,824.0282602059083,824.0282602059083,10.288381501365311,10.288381501365311,2.0,2.0,2165875.3024518914
